date,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon
2017-12-13,2017-12-13,340.93,344.22,336.5,339.03,339.03,6189204.0,0.0,1.0,12.920000000000002,0.8,1.08
2017-12-14,2017-12-14,341.01,347.44,336.9,337.89,337.89,5744750.0,0.0,1.0,11.39,1.0,1.3199999999999998
2017-12-15,2017-12-15,342.04,343.9,335.76,343.45,343.45,6832071.0,0.0,1.0,11.22,0.9,1.14
2017-12-18,2017-12-18,344.9,346.73,337.58,338.87,338.87,5441450.0,0.0,1.0,11.97,1.04,1.35
2017-12-19,2017-12-19,340.26,341.4925,330.3,331.1,331.1,6792009.0,0.0,1.0,14.25,1.2,1.62
2017-12-20,2017-12-20,332.69,333.1,325.04,328.98,328.98,5937684.0,0.0,1.0,14.63,1.52,2.34
2017-12-21,2017-12-21,329.59,333.74,327.21,331.66,331.66,4344701.0,0.0,1.0,13.68,1.44,1.71
2017-12-22,2017-12-22,329.51,330.9214,324.82,325.2,325.2,4186131.0,0.0,1.0,14.63,1.44,1.89
2017-12-26,2017-12-26,323.83,323.94,316.58,317.29,317.29,4321909.0,0.0,1.0,16.400000000000002,2.08,1.8200000000000005
2017-12-27,2017-12-27,316.0,317.68,310.75,311.64,311.64,4645441.0,0.0,1.0,19.200000000000006,1.92,1.4700000000000002
2017-12-28,2017-12-28,311.75,315.82,309.54,315.36,315.36,4294689.0,0.0,1.0,15.6,1.6,1.4700000000000002
2017-12-29,2017-12-29,316.18,316.41,310.0,311.35,311.35,3727621.0,0.0,1.0,15.2,1.28,1.1900000000000002
2018-01-02,2018-01-02,312.0,322.1099,311.0,320.53,320.53,4326988.0,0.0,1.0,14.58,1.98,1.74
2018-01-03,2018-01-03,321.0,325.25,315.55,317.25,317.25,4185665.0,0.0,1.0,16.919999999999998,1.92,2.22
2018-01-04,2018-01-04,312.87,318.55,305.68,314.62,314.62,9915932.0,0.0,1.0,17.46,1.98,1.92
2018-01-05,2018-01-05,316.62,317.24,312.0,316.58,316.58,4578729.0,0.0,1.0,15.66,2.28,2.34
2018-01-08,2018-01-08,316.0,337.0199,315.5,336.41,336.41,9777059.0,0.0,1.0,16.2,1.35,1.92
2018-01-09,2018-01-09,335.16,338.8,327.405,333.69,333.69,7109115.0,0.0,1.0,14.76,1.4,1.7999999999999998
2018-01-10,2018-01-10,332.2,337.0,330.0,334.8,334.8,4236168.0,0.0,1.0,16.02,1.6,1.74
2018-01-11,2018-01-11,335.24,344.8099,333.26,337.95,337.95,6619082.0,0.0,1.0,15.84,1.2000000000000002,1.5
2018-01-12,2018-01-12,338.63,340.41,333.67,336.22,336.22,4805025.0,0.0,1.0,16.38,1.4500000000000002,1.98
2018-01-16,2018-01-16,337.54,345.0,334.8,340.06,340.06,6392397.0,0.0,1.0,13.94,1.4,1.4500000000000002
2018-01-17,2018-01-17,340.47,349.0,339.75,347.16,347.16,7062337.0,0.0,1.0,14.11,1.15,1.1
2018-01-18,2018-01-18,345.67,352.3,343.74,344.57,344.57,5619990.0,0.0,1.0,12.750000000000002,1.35,1.3
2018-01-19,2018-01-19,345.0,350.5899,342.6,350.02,350.02,4812052.0,0.0,1.0,14.11,1.25,1.35
2018-01-22,2018-01-22,349.4,357.83,349.2,351.56,351.56,6157941.0,0.0,1.0,15.77,1.1,1.38
2018-01-23,2018-01-23,360.0,360.5,351.0,352.79,352.79,5428872.0,0.0,1.0,18.05,1.8,2.22
2018-01-24,2018-01-24,354.58,354.75,343.52,345.89,345.89,5251654.0,0.0,1.0,18.05,1.5,2.16
2018-01-25,2018-01-25,348.27,349.2,336.4,337.64,337.64,6640964.0,0.0,1.0,17.67,1.35,1.74
2018-01-26,2018-01-26,341.5,344.0,335.71,342.85,342.85,4515013.0,0.0,1.0,17.48,1.2000000000000002,1.7999999999999998
2018-01-29,2018-01-29,339.85,350.85,338.28,349.53,349.53,4722025.0,0.0,1.0,16.2,12.88,11.48
2018-01-30,2018-01-30,345.14,348.27,342.17,345.82,345.82,4696465.0,0.0,1.0,15.12,14.000000000000002,14.000000000000002
2018-01-31,2018-01-31,347.51,356.19,345.19,354.31,354.31,6076998.0,0.0,1.0,15.12,9.66,9.1
2018-02-01,2018-02-01,351.0,359.66,348.63,349.25,349.25,4163194.0,0.0,1.0,4.8599999999999985,1.96,1.96
2018-02-02,2018-02-02,348.44,351.95,340.51,343.75,343.75,3674909.0,0.0,1.0,5.04,1.6800000000000002,1.96
2018-02-05,2018-02-05,337.97,344.47,333.0,333.13,333.13,4053777.0,0.0,1.0,9.25,4.0,4.07
2018-02-06,2018-02-06,325.21,336.22,323.5,333.97,333.97,4937928.0,0.0,1.0,20.35,23.200000000000006,21.83
2018-02-07,2018-02-07,338.99,346.0,335.66,345.0,345.0,5846823.0,0.0,1.0,37.0,40.0,37.0
2018-02-08,2018-02-08,343.31,348.62,314.6,315.23,315.23,9996464.0,0.0,1.0,27.38,23.6,22.94
2018-02-09,2018-02-09,319.93,320.9845,294.76,310.42,310.42,12795099.0,0.0,1.0,19.98,16.0,14.8
2018-02-12,2018-02-12,316.13,318.08,306.25,315.73,315.73,6166161.0,0.0,1.0,8.36,4.9300000000000015,5.1000000000000005
2018-02-13,2018-02-13,315.02,324.19,312.5105,323.66,323.66,4506915.0,0.0,1.0,7.92,3.5700000000000003,3.91
2018-02-14,2018-02-14,320.84,326.17,318.52,322.31,322.31,3930911.0,0.0,1.0,6.38,2.3800000000000003,2.89
2018-02-15,2018-02-15,324.5,334.12,322.4,334.065,334.065,5892048.0,0.0,1.0,6.38,2.04,2.3800000000000003
2018-02-16,2018-02-16,332.5,343.12,331.64,335.49,335.49,5585810.0,0.0,1.0,5.94,2.04,2.3800000000000003
2018-02-20,2018-02-20,334.47,340.84,331.5,334.77,334.77,3996951.0,0.0,1.0,4.8599999999999985,0.99,1.2000000000000002
2018-02-21,2018-02-21,336.03,339.6929,333.17,333.3,333.3,3181755.0,0.0,1.0,4.8599999999999985,0.99,1.2000000000000002
2018-02-22,2018-02-22,335.53,347.44,334.7501,346.17,346.17,6940349.0,0.0,1.0,5.04,0.99,1.1
2018-02-23,2018-02-23,347.83,354.99,347.1,352.05,352.05,5790795.0,0.0,1.0,5.04,0.99,1.1
2018-02-26,2018-02-26,353.5,359.0,352.355,357.42,357.42,4312871.0,0.0,1.0,4.590000000000002,0.56,0.8
2018-02-27,2018-02-27,356.25,359.99,350.01,350.99,350.99,4761537.0,0.0,1.0,4.42,0.4900000000000001,0.8
2018-02-28,2018-02-28,352.57,355.24,342.22,343.06,343.06,6042895.0,0.0,1.0,4.25,0.56,0.72
2018-03-01,2018-03-01,345.01,348.67,330.07,330.93,330.93,6885601.0,0.0,1.0,9.69,2.5200000000000005,3.68
2018-03-02,2018-03-02,326.98,335.22,322.97,335.12,335.12,5092829.0,0.0,1.0,9.69,2.5900000000000003,4.0
2018-03-05,2018-03-05,332.39,337.75,329.2929,333.35,333.35,3823769.0,0.0,1.0,9.18,2.3800000000000003,2.66
2018-03-06,2018-03-06,333.75,336.37,327.03,328.2,328.2,4285744.0,0.0,1.0,9.69,2.5900000000000003,3.5000000000000004
2018-03-07,2018-03-07,325.44,332.5,321.74,332.3,332.3,5007297.0,0.0,1.0,10.2,2.5200000000000005,2.87
2018-03-08,2018-03-08,332.86,333.3,326.274,329.1,329.1,3476944.0,0.0,1.0,10.03,3.78,3.5700000000000003
2018-03-09,2018-03-09,324.1,328.49,322.37,327.17,327.17,5479716.0,0.0,1.0,10.37,3.5000000000000004,3.78
2018-03-12,2018-03-12,328.61,347.21,326.5,345.51,345.51,8212156.0,0.0,1.0,9.28,10.0,10.0
2018-03-13,2018-03-13,344.92,345.12,336.2635,341.84,341.84,5932110.0,0.0,1.0,9.44,5.1000000000000005,5.9
2018-03-14,2018-03-14,336.76,339.81,323.93,326.63,326.63,7932511.0,0.0,1.0,8.8,5.800000000000002,6.1000000000000005
2018-03-15,2018-03-15,329.38,332.85,321.1,325.6,325.6,6366922.0,0.0,1.0,9.12,5.300000000000002,6.7
2018-03-16,2018-03-16,325.96,327.4,319.07,321.35,321.35,6058612.0,0.0,1.0,8.64,4.9,4.800000000000002
2018-03-19,2018-03-19,316.5,320.75,309.67,313.56,313.56,7440766.0,0.0,1.0,9.69,3.12,3.01
2018-03-20,2018-03-20,314.87,316.25,308.76,310.55,310.55,4726182.0,0.0,1.0,8.84,3.12,3.3600000000000003
2018-03-21,2018-03-21,310.25,322.44,310.19,316.53,316.53,5927881.0,0.0,1.0,9.35,3.12,3.22
2018-03-22,2018-03-22,313.89,318.82,308.18,309.1,309.1,4914307.0,0.0,1.0,9.18,3.2,2.7300000000000004
2018-03-23,2018-03-23,311.25,311.61,300.45,301.54,301.54,6600538.0,0.0,1.0,10.54,4.16,4.340000000000002
2018-03-26,2018-03-26,307.34,307.59,291.36,304.18,304.18,8324639.0,0.0,1.0,14.49,5.44,5.6000000000000005
2018-03-27,2018-03-27,304.0,304.27,277.18,279.18,279.18,13696168.0,0.0,1.0,17.48,3.52,4.08
2018-03-28,2018-03-28,264.58,268.68,252.1,257.78,257.78,21001437.0,0.0,1.0,23.0,3.12,3.92
2018-03-29,2018-03-29,256.49,270.9599,248.21,266.13,266.13,15170749.0,0.0,1.0,22.31,2.96,3.76
2018-04-02,2018-04-02,256.26,260.3318,244.5901,252.48,252.48,16113968.0,0.0,1.0,22.0,8.0,8.0
2018-04-03,2018-04-03,269.82,273.35,254.49,267.53,267.53,18844384.0,0.0,1.0,17.6,6.8,6.72
2018-04-04,2018-04-04,252.78,288.37,252.0,286.94,286.94,19896746.0,0.0,1.0,14.52,5.92,5.5200000000000005
2018-04-05,2018-04-05,289.34,306.26,288.2,305.72,305.72,19121101.0,0.0,1.0,14.3,5.92,5.04
2018-04-06,2018-04-06,301.0,309.28,295.5,299.3,299.3,13520286.0,0.0,1.0,14.52,4.4,4.4
2018-04-09,2018-04-09,300.37,309.5,289.21,289.66,289.66,10249805.0,0.0,1.0,10.08,4.08,5.32
2018-04-10,2018-04-10,298.97,307.1,293.68,304.7,304.7,11024259.0,0.0,1.0,10.98,3.36,5.250000000000001
